Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.4,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 9.0.4  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.4,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.4  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,SQLitePCLRaw.lib.e_sqlite3 2.1.11,,,,,"SQLitePCLRaw.lib.e_sqlite3, 2.1.11  Recommendation:  The ID of this package has changed to SourceGear.sqlite3. Remove SQLitePCLRaw.lib.e_sqlite3, and replace with new package SQLitePCLRaw.lib.e_sqlite3, 2.1.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\HockeyPool.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\Configuration\HttpPipelineConfiguration.cs,12,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\Configuration\HttpPipelineConfiguration.cs,8,12,T:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions,,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\Configuration\HttpPipelineConfiguration.cs,8,12,M:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions.UseMigrationsEndPoint(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,HockeyPool\HockeyPool.csproj,File,HockeyPool\Configuration\DatabaseConfiguration.cs,15,8,T:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions,,,,,services.AddDatabaseDeveloperPageExceptionFilter();
